Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Ret_MinusOne,Ret_MinusTwo,Ret_PlusOne
,0.459214843644,-0.826491304554,-0.864517184796,8.0,-0.535782746535,12790,0.0111,5.0,,0.811790790254,0.32,6.0,1.20017160532,9.198895406,1.0,0.426321608498,-0.500472011678,0.00956342565384,,-1.13649516099,1.67255718258,-0.036065029719,0.227910058358,-0.0980057852432,-0.0115964575425,-0.0174913689234,-0.00282876414023
3.0,0.920453769465,0.609907178679,0.403159447021,7.0,0.567135949586,30391,0.01,10.0,,-0.0815554240463,0.5,7.0,,1.017290336,1.0,-0.918047758951,0.971020983245,-1.3123367944,6.0,0.636846143742,0.498178076997,1.37464076592,0.332358044135,-0.586665002172,0.00733271659573,-0.00113015157045,0.00449066270472
,-1.47629040005,0.76577887581,,1.0,0.55972591021,10741,0.365,11.0,,-0.931106337848,0.76,0.0,1.36892764628,1.049285547,1.0,-1.16757838508,,-1.23383077803,2.0,2.83040183744,0.0576819297971,0.982587761716,-3.33472699768,2.55730059959,0.0183268239551,0.0129100486647,-0.0212147694621
3.0,-0.854040811941,1.47537702442,1.39310307618,7.0,1.23406564839,39455,0.0166,13.0,1.0,-1.59376350875,0.58,6.0,1.9046105969,8.344365458,1.0,-1.38912363917,2.41471696538,-1.97614308421,5.0,1.95603993059,0.42780461864,1.65273187292,-1.29520330991,-1.10780068317,0.00998027104775,-0.0025336234568,-0.00663084116207
,-1.21238940364,1.04363812198,0.742456227414,8.0,0.352432146289,99861,0.3451,8.0,5.0,-0.688750160304,0.73,3.0,1.53209332033,3.441632882,1.0,-1.13066018217,1.47729729593,-1.68009354463,6.0,0.688953751235,-1.49768256519,1.39138996581,-1.90984675605,-0.963026671774,0.0200584184753,0.00424834948,0.00835443693056
,-0.262543485523,1.66754799116,1.0678073555,6.0,-0.0218030702402,45441,0.3451,11.0,5.0,-2.29334648177,0.31,1.0,1.52006378443,12.18622361,1.0,-0.813021997404,0.954625415066,-1.16486262756,2.0,0.223191426682,-2.50954504147,1.06901524416,-0.89779410802,-0.55893614748,0.000526557037864,0.0145149573071,-0.0180488499195
,-1.53206707637,0.773036975975,0.644498346147,8.0,-0.364960547228,56379,0.2323,13.0,5.0,-0.237175570967,0.47,4.0,1.69013718745,0.320231798,1.0,-1.29083569792,2.02922672499,-1.9886492809,5.0,0.896044377197,-0.797162356835,2.02469888324,-3.42073069639,-0.888302208497,0.00495277697156,-0.00515298253467,0.0010308469008
,1.75683972217,1.35535269687,-0.680281602238,9.0,0.0739201795265,71802,0.3318,9.0,,-2.11212934891,0.04,8.0,1.65726833777,0.19003976,1.0,-0.305530794337,0.465280883987,-1.0118561586,3.0,0.0446191040911,-1.14615013183,1.13730502967,0.596319703384,-0.637871931659,0.00106377295774,0.0201222763532,0.00394344430151
4.0,2.1296532096,0.738451291308,0.773659192462,8.0,-0.428582846076,96569,0.0099,10.0,,-0.62350749327,0.2,5.0,1.7680719439,0.943324965,1.0,-0.873989319008,1.06136049313,-1.8219331972,7.0,1.07611885945,-2.00314510851,1.29156205847,-1.24681271539,-0.774313510403,-0.0019581621047,-0.000541266662976,0.00274064809436
2.0,-0.496366874318,2.30607926534,2.02078471934,6.0,1.88184294069,44322,0.3318,13.0,5.0,-2.42285487289,0.89,8.0,1.81576999103,9.761854304,1.0,-1.8209233473,3.47257967548,-2.5817510882,7.0,2.49927952594,-2.82416249606,,-2.7471204727,-1.1307725136,0.0481558760216,0.0786092138857,-0.0543767579417
,-0.651866540289,0.438189953677,0.967442376146,8.0,0.133022148447,15023,0.2087,9.0,5.0,0.321938157074,0.09,7.0,1.46027523386,1.037302138,1.0,-0.905936989971,0.657686312323,-1.25326501754,6.0,,-1.08726409619,1.15025001111,-2.29247789989,-0.611678526517,-0.0100406178111,-0.00280901679536,0.000785131972432
,,-0.171869698881,0.0968022406974,5.0,-0.259793809414,47925,0.365,10.0,,0.170832308431,0.57,0.0,1.50717658,0.340229585,1.0,,-0.156086887667,0.0656070667767,2.0,-0.720764621279,0.516948573762,0.0400268336698,1.81478949917,-0.0206413797009,-0.000190144861621,0.0141228793059,0.015658763923
,-0.0524129092864,-0.760537833243,-0.707069248812,2.0,-0.45406944126,83297,0.0158,8.0,5.0,0.631278952405,0.03,6.0,1.84117703907,0.159353627,1.0,0.231495937692,-0.312383780244,-1.04796572766,,-0.769587106875,0.678156893393,-0.466939827942,1.17570739144,-0.00289667300621,0.0186711538423,-0.00796866105662,0.0261548156388
,0.62712598133,-0.808482870756,-0.450117037852,2.0,-0.533181082553,28250,0.3583,7.0,5.0,1.00761241488,0.65,7.0,1.60345385791,13.26914541,1.0,0.125300896557,0.0615957099155,-0.505297253798,2.0,-0.653720463835,0.799463903056,-0.152874025308,-0.00558626947576,-0.0631537212442,0.00957106817276,-0.0079339323845,-0.0123540337472
3.0,0.661778684169,-0.193414189594,-0.208331471696,8.0,-0.332848351429,8660,0.3418,11.0,4.0,0.209091182506,0.8,8.0,1.27353234383,0.716192829,1.0,-0.291371438563,0.136113732383,-0.26666937464,5.0,-0.34690330265,-1.07913443537,,-1.068597693,-0.189556300671,-0.000699655874591,-0.0136742640233,-0.0105749338173
,0.364612837601,-1.09997755917,-1.1223685272,8.0,-0.432311475611,5200,0.0166,6.0,,1.03949335686,0.85,1.0,1.06909508041,1.186553209,1.0,-0.0662075302211,-0.0705786011614,-0.285357732758,,-0.56809776683,1.69487509254,0.659117389759,-1.17229106619,0.0818675462208,-0.0365406318996,0.00639824312464,0.0100850781309
,-0.130723419594,-0.210734234608,0.542092015613,2.0,-0.323737555156,88655,0.2986,11.0,5.0,0.023865080433,0.0,9.0,1.71329574223,2.332111971,1.0,-0.102840077452,-0.00646565167897,-1.01949683364,2.0,,-1.33990613984,0.629684530474,0.442968689462,-0.313200137359,-0.00151102699396,0.00609502965976,0.0084008325474
1.0,,0.0514117699273,,1.0,0.938380145569,3527,0.2654,14.0,,0.0955370611178,0.59,2.0,1.91816249039,14.44165264,1.0,-0.779993565462,0.430864184001,-1.44394240806,9.0,0.77730831944,0.246468933912,0.941893973574,,-0.54744330433,0.0201340417021,0.00713626387403,0.0131110629096
,-1.72387964816,1.50208323579,1.03083244889,5.0,0.131700118545,28756,0.2323,13.0,,-2.13113766112,0.0,2.0,1.8934255065,0.140325908,1.0,-0.936284957812,1.57238239023,-1.39576857092,2.0,0.780531049975,-3.39557287455,1.38197419142,-1.81906651476,-0.138953390763,0.00642122783765,-0.00518270934382,0.014712125325
,0.430389492256,-0.762107049307,-0.373045012244,8.0,-0.44462590757,28752,0.2986,8.0,5.0,1.08459561516,0.34,9.0,1.84474674063,3.441632882,1.0,-0.172425615636,0.166236485657,-0.911186886014,,-0.58021758694,,0.396203034374,-0.313824871456,-0.228536066618,0.0249590306319,-0.00687473728953,0.000490770512133
,1.30099962174,0.869777488055,,1.0,0.0561571635769,17103,0.0105,11.0,6.0,-1.18813764861,0.86,3.0,1.31644047682,0.039113585,1.0,-0.641509676485,1.06122260821,-1.11659122669,10.0,0.744496920759,-1.30372082001,1.16683596261,-1.74300948133,-0.572660057037,-0.00166649443385,0.0043111812213,0.0147977642052
,,0.866662102124,,3.0,1.2433460931,38839,0.365,12.0,,-0.947977457956,0.87,7.0,1.55798552887,0.934115038,1.0,-1.25382964955,1.57961347786,-1.43554024239,9.0,1.52948478562,-0.862740704107,1.38155587267,-1.04083624289,-0.649600511109,0.0019884039336,0.00419729213719,0.00732750912261
,,,,3.0,,67692,0.0111,,,,0.42,8.0,1.49502185971,0.320366133,1.0,,,-0.223938926586,2.0,,,,,,-0.00274939753243,-0.00768338936494,-0.0100930885987
,-0.486003321691,0.107595626345,0.789976150044,7.0,-0.615281221863,58781,0.2087,8.0,5.0,0.282851511039,0.99,6.0,1.59999307281,5.793652342,1.0,-0.461711532507,0.302824088348,-1.21456948711,8.0,-0.343859458796,-0.926770552591,1.15133043193,-1.31758719333,-0.902096934702,-0.0116746104285,-0.00646320595869,0.0100360365151
,,0.470364573037,,1.0,0.0518923510179,26189,0.2087,11.0,,-0.532420429575,1.0,4.0,1.40973118547,9.032240759,1.0,-1.02711659189,1.35776627048,-1.2116499602,5.0,1.35202959168,-1.50945645902,1.00227567861,-2.32839179124,-0.480373216716,0.00719873004199,-0.00243777592873,-0.00406352271633
,,0.573481608553,,5.0,0.170988003512,14937,0.2323,8.0,4.0,-0.973336116537,0.6,1.0,1.87918746276,0.234684823,1.0,-0.532763694561,0.470085427894,,3.0,0.257877550963,-0.117703135862,0.973224568499,-1.39229355531,-0.491389845288,-0.00573711756052,0.00970356287107,-0.00288376586383
,1.58082120899,-0.463210517238,,2.0,,63046,0.3418,9.0,4.0,0.573097132486,0.39,8.0,1.39789492749,0.57975762,1.0,-0.164678520998,0.219313756952,-0.798579724091,4.0,-0.462723429065,0.856309417385,0.325197306382,-0.893868311735,-0.528832705839,0.12707729291,-9.53609253673e-05,0.00974415578714
,1.9194484466,0.497018597306,,5.0,0.722986430278,34745,0.2208,7.0,,-0.451859207835,0.5,6.0,1.47794352703,0.10386096,1.0,-0.876403546886,1.1599217996,-1.35912630296,4.0,1.02519844608,-1.36281050346,1.14239410651,-0.746821752202,-0.699516875053,-0.00818702540288,-0.00565808864313,0.000790068348381
,,-0.0995228679746,-0.0773548636917,7.0,-0.511534035591,90179,0.0098,10.0,5.0,0.171844795525,0.78,1.0,1.71648893536,0.902490571,1.0,-0.271330889052,-0.0563826136257,-0.910569908065,3.0,-0.620996944781,-1.00654306517,0.670677782522,-0.803139020655,-0.409907941125,-0.00490720167105,0.00512053756378,-0.000543773248288
,,0.854840079546,,1.0,0.408542201559,62179,0.3484,12.0,,-0.840353841696,0.01,1.0,1.67936114262,1.864220391,1.0,-1.24497237208,1.64215962722,-1.18153195456,4.0,3.23729836205,-0.289666388417,0.908681593191,-2.88144609871,-0.735506565023,-0.0079141252222,-0.0101623753197,-0.00411517644713
,-2.24431307024,0.615118809174,,8.0,-0.639898711132,54326,0.3318,10.0,,-0.0874213134791,0.07,5.0,2.26221468156,0.073677773,1.0,-1.46840317432,2.47251851524,-2.25637766071,3.0,1.25915356624,-0.371982997282,1.6573234157,-3.09789173074,-1.02876228664,0.015818765482,0.00718695528431,-0.00920635865902
,,1.36503654307,1.21022423302,7.0,0.236060357351,95620,0.0174,12.0,5.0,-1.79240987876,0.6,5.0,1.82740729873,0.248670364,1.0,-1.07282574247,1.25685558476,-1.82240251901,2.0,0.579222080193,,1.33594524677,-1.48335311421,-0.765269418739,0.00915907536629,0.00266724913538,-0.00606277134015
,,0.14632561895,,8.0,,75116,0.01,8.0,5.0,-0.553273101698,0.55,3.0,1.70965606825,0.61094639,1.0,-0.359072026957,0.3019904489,-1.0361376829,,-0.121306787081,-1.77660187095,0.892783686912,0.724699899191,-0.39578463038,-0.0956902890539,-0.0156507939276,0.0081906261269
,-1.22124815883,-0.216393953091,,1.0,-0.0416241921762,21016,0.3418,31.0,,0.48031909021,0.51,7.0,2.47732240085,0.477483282,1.0,-1.17104492684,2.10495027162,-1.3958397745,4.0,1.33209346059,0.804861855829,1.20101770005,-1.07379467121,-0.679646336021,0.01359552355,-0.00154131201023,0.00861023199661
,-0.219838350586,0.90074747674,0.108863802706,8.0,0.212178900294,85166,0.3451,8.0,,-1.2950203784,0.59,3.0,1.80060024441,1.292008085,1.0,-0.683140007336,0.845208390342,-1.03955724159,2.0,,-2.4967860357,1.1647231265,-0.546830162463,-0.49541188696,0.00818751286746,0.00661705119594,-0.00522696328307
,-0.439607091571,1.07713784511,0.382929422254,9.0,0.410445014289,24173,0.2119,10.0,,-1.41521753151,0.89,,1.58553250805,6.381362838,1.0,-1.21690205497,1.83209838156,-1.48828196765,4.0,0.960509217713,-1.99452291138,1.25752385728,-1.08549578799,-0.781691476356,0.00366913177186,-0.0107765342066,0.00262613006096
,1.73441744375,0.919140746303,,1.0,-0.00985825062387,92675,0.0174,17.0,5.0,-1.46905808817,0.89,1.0,1.70552663139,2.963932497,1.0,-1.03283554477,1.0493873841,-1.47579504024,6.0,1.96304670606,-0.0407150134978,1.7382103817,-2.02008781673,-0.82264408247,-0.000499161460409,-0.0131721890793,-0.00276371611395
1.0,-0.0549943341174,0.297508478594,0.697100698477,7.0,-0.31762941495,77781,0.0164,15.0,,-0.235134461211,0.84,0.0,1.73322745148,0.217726874,1.0,-0.951362738635,1.04056519587,-2.47350283774,,0.111979569154,0.277038037929,1.2374613102,-1.90369294622,-0.834537610743,-0.0201560964577,0.0176505038332,-0.00155557251197
,1.57578831204,-0.336146719388,-0.22373097785,8.0,-0.676020584879,68528,0.3484,6.0,5.0,0.508455752264,0.02,1.0,0.800061265356,9.032240759,1.0,-0.0502839414618,-0.065996275919,,,-0.690342756201,0.259950788278,0.393719206533,0.037121719241,-0.638620161121,-0.0252930358768,0.0374403035954,0.00556345508144
,-1.65743396124,0.563878988382,0.843637513416,2.0,0.767159899125,999,0.01,15.0,,-0.471838441809,0.42,0.0,2.27025373664,13.22195276,1.0,-1.00697890399,1.30016541461,-1.71367269428,,0.810811745963,-0.990810031722,1.09618343118,-0.200359202074,2.67540954721,-0.0258111176164,-0.00950698600105,-0.00429424025778
,0.354880510042,0.541159449789,0.0955957167611,10.0,-0.0940824526583,62211,0.2254,11.0,5.0,-1.13586465924,0.97,4.0,,3.753358081,1.0,-0.971802133037,1.04394003637,-1.49410886916,7.0,0.434206554205,-0.988089785788,1.03482196625,-1.63376418642,,-0.0160508113539,-0.0137019513449,-0.0035212135745
5.0,1.70671365549,0.497843878358,0.235864583392,9.0,0.762303676266,9989,0.2254,12.0,,-0.418267908833,0.57,3.0,1.53837532113,0.956136024,1.0,-1.01967277968,0.756852336651,-1.48522944793,9.0,0.923964626944,0.247959194422,1.54288988558,-0.785753867448,-0.809633994236,0.00090942439169,-0.0024274645996,0.00398264041792
,,1.16233980024,1.04586673921,2.0,-0.0380536531511,95925,0.2109,12.0,5.0,-1.56703059867,0.98,9.0,1.8722870685,3.619652828,1.0,-0.546096759527,0.513744903475,-1.6704789933,2.0,0.466851510848,-1.64053914204,1.20874946163,-1.36860668659,-0.683263859831,0.00455593981853,-0.0239380157098,0.00464859333381
,-1.61634150552,1.57060709979,,1.0,10.8291585375,64861,0.0171,,,-0.367213844568,1.0,5.0,1.87394304977,13.42760536,1.0,-1.58296583523,2.29916693144,-1.77364802486,5.0,5.37799765488,-1.72959130988,1.654004589,-6.81207435149,-1.06441915827,-9.051817607e-06,0.00157666125984,0.00984097109545
